Started Logging: 2017-08-30 18:22:47.591
2017-08-30 18:22:47.591 1 left.
2017-08-30 18:22:47.591 1 left.
Started Logging: 2017-09-05 16:37:54.069
Stopped Logging: 2017-09-05 16:37:54.069
Started Logging: 2017-09-05 17:02:54.919
Stopped Logging: 2017-09-05 17:02:54.919
Started Logging: 2017-09-08 18:17:20.166
Stopped Logging: 2017-09-08 18:17:20.166
Started Logging: 2017-09-08 19:31:30.744
Stopped Logging: 2017-09-08 19:31:30.744
Started Logging: 2017-09-09 21:00:45.037
2017-09-09 21:00:45.037 1 left.
2017-09-09 21:00:45.037 1 left.
2017-09-09 21:00:45.037 1 left.
2017-09-09 21:00:45.037 1 left.
2017-09-09 21:00:45.037 1 entered.
2017-09-09 21:00:45.037 1 entered.
2017-09-09 21:00:45.037 1 entered.
Started Logging: 2017-09-09 21:07:01.387
2017-09-09 21:07:01.387 1 left.
2017-09-09 21:07:01.387 1 left.
2017-09-09 21:07:01.387 1 left.
2017-09-09 21:07:01.387 1 left.
2017-09-09 21:07:01.387 1 entered.
2017-09-09 21:07:01.387 1 entered.
2017-09-09 21:07:01.387 1 entered.
Started Logging: 2017-09-09 21:23:07.998
2017-09-09 21:23:07.998 1 left.
2017-09-09 21:23:07.998 1 left.
2017-09-09 21:23:07.998 1 left.
2017-09-09 21:23:07.998 1 left.
2017-09-09 21:23:07.998 1 entered.
2017-09-09 21:23:07.998 1 entered.
2017-09-09 21:23:07.998 1 entered.
Started Logging: 2017-09-09 21:41:02.376
2017-09-09 21:41:02.376 1 left.
2017-09-09 21:41:02.376 1 left.
2017-09-09 21:41:02.376 1 left.
2017-09-09 21:41:02.376 1 left.
Started Logging: 2017-09-09 21:42:07.164
2017-09-09 21:42:07.164 1 left.
2017-09-09 21:42:07.164 1 left.
2017-09-09 21:42:07.164 1 left.
2017-09-09 21:42:07.164 1 left.
2017-09-09 21:42:07.164 1 left.
2017-09-09 21:42:07.164 1 entered.
2017-09-09 21:42:07.164 1 entered.
2017-09-09 21:42:07.164 1 entered.
